rank,channel_title,genre,saw_score,avg_view_count,avg_like_count,avg_comment_count,avg_watch_time,avg_engagement_rate,subscriber_count,top_video_titles,top_video_views,top_video_links
96,Up To Date IDN,Techno,0.1099,64169,1554,260,7111.4,0.0264,355000,"['3 Fitur RAHASIA di POCO F7 🤫', 'Beda 1JUTA! Mending POCO F7 apa X7 PRO?']","[212907, 101541]","['https://www.youtube.com/watch?v=vay4Bf5HOhE', 'https://www.youtube.com/watch?v=yKS5YfqckVY']"
97,Rockaroma ID,Podcast,0.109,115500,3491,132,112702.33,0.0232,308000,"['KING ALOY NGEGAS, PRAZ GAK KALAH NGEGAS. STUDIO FULL ASEP! - KASIH PAHAM BRO!', 'Calon mertua hampir gak suka Ate gara-gara ini??😂']","[1092639, 21733]","['https://www.youtube.com/watch?v=7XaSpHFzjUk', 'https://www.youtube.com/watch?v=_Vowv2JYErk']"
98,LugNutz Auto Junkie,Otomotif,0.109,23001,321,80,11027.66,0.0265,545000,"['BYD Atto 1 Langsung TERASA SEMPIT Deh! EV Murah 4 Pintu Terbaru Jetour X20e Siap LAWAN Wuling & BYD?', 'SUV Cina Mati Terbengkalai! TARUNA KW Ini Bernasib Serupa ZNA SUCCE? Kok Ada ZOTYE Nomad 2008 Di 🇮🇩?']","[54801, 53305]","['https://www.youtube.com/watch?v=N4CO8mliTNI', 'https://www.youtube.com/watch?v=sacc7aDK_s0']"
99,JPro CarVlog,Otomotif,0.1083,43737,1008,88,18648.81,0.0258,655000,"['GANTI KNALPOT FULL SYSTEM BMW 330I G20 BY SOKUDO EXHAUST !!!', 'AKHIRNYA GTR R35 “MADZILLA” COMEBACK !! LANGSUNG GANTI BAN ']","[103799, 90300]","['https://www.youtube.com/watch?v=DAg1aX-fu0M', 'https://www.youtube.com/watch?v=Z4X5hjgBhZc']"
100,Boengkoes,Kuliner,0.1068,137959,2624,213,32149.86,0.0236,1320000,"['WARMINDO TERKECIL DENGAN MENU BANYAK BANGET!! SAMPE ADA NASI BALI!!', 'BARU BUKA LANGSUNG DISERBU BAKSO ENAK PINGGIR JALAN DEPOK!!']","[204959, 198057]","['https://www.youtube.com/watch?v=rlnt0UfN6Vk', 'https://www.youtube.com/watch?v=wtfqMw4S5JQ']"
101,Jejelogy,Otomotif,0.1041,37514,858,71,12676.86,0.025,571000,"['REVIEW NISSAN PATROL 2025. SAYA BANDINGKAN DENGAN TOYOTA LAND CRUISER 300. | GIIAS 2025', 'WOW! BANYAK LAND CRUISER GAGAH & UNIK DISINI! | JAMBORE TLCI SARIATER (PART 1/3)']","[73386, 48611]","['https://www.youtube.com/watch?v=rHZ40CPsVic', 'https://www.youtube.com/watch?v=dCL1glO4eGc']"
102,NT Gadget,Techno,0.1039,8713,112,57,525.55,0.026,24400,"['UPGRADE PARAH‼️ SAMSUNG GALAXY A07 SEJUTAAN UDAH NGEBUT', 'INGET HARGA‼️ XIAOMI REDMI 15 4G BATERAI BIKIN GUMOH 7000 mAh']","[17222, 14493]","['https://www.youtube.com/watch?v=YiUY3ek9Adw', 'https://www.youtube.com/watch?v=ZEz9Sn9Vrc0']"
103,ShantyDenny,Kuliner,0.1024,78644,1276,138,25623.21,0.0218,3640000,"['PANTES VIRAL!! SEENAK INI!! BAKMIE ""PI"" 24!!', 'ISIAN FULL!! BAKSO GARUT BANGET!! BAKSO PRASMANAN NUSANTARA!!']","[151053, 144662]","['https://www.youtube.com/watch?v=wxF5GhgIYuc', 'https://www.youtube.com/watch?v=emR2_UR902o']"
104,iTechLife,Techno,0.0991,44680,685,228,9050.31,0.0238,544000,"['KACAU!! Eksklusif Bocoran Terbaru iPhone 17 Pro : SEMAKIN JELAS!', 'MAKIN GANTENG! Inilah Desain Final iPhone 17 Pro?!🔥 Bocoran & Rumor Terbaru!']","[110380, 100913]","['https://www.youtube.com/watch?v=HB-U66q6yWE', 'https://www.youtube.com/watch?v=cX-7SJj3KHs']"
105,Gerebek Otomotif,Otomotif,0.0963,47977,1017,53,24844.55,0.023,129000,"['HANS TEKNO : SAYA HANYA INGIN MEMOTIVASI YANG LAIN', 'PROSES SCRUUT ENGINE TEKNO TUNER | KOMENG WIN']","[120892, 80331]","['https://www.youtube.com/watch?v=S97xfGO2jcQ', 'https://www.youtube.com/watch?v=2mUtbHuPDFk']"
106,OTOMOTIF TV,Otomotif,0.0949,111518,1567,342,57863.56,0.0204,1090000,"['MOTOR-MOTOR BARU di GIIAS 2025, ADA APA SAJA..?!?!? l Otomotif TV', 'MASIH LEBIH MURAH DARI FORZA, YAMAHA XMAX 250 2025 | Otomotif TV']","[378864, 147447]","['https://www.youtube.com/watch?v=pTEFsu0uPmE', 'https://www.youtube.com/watch?v=fMrbsIKWG1g']"
107,WKWK Project,Entertainment,0.0948,53098,1495,158,51202.71,0.0207,1860000,"['BBK EP. 96 | CATHEEZ BENCI DENSU, DI FITNAH L*SBIOLA‼️ KLARIF DENSU TENTANG DJ PANDA & JEFRI NICHOL', 'KANG SULE DIPOJOKIN FBYANA NIH']","[499180, 7085]","['https://www.youtube.com/watch?v=OTaCKXdlxes', 'https://www.youtube.com/watch?v=1C13jea0QkE']"
